ID в ИС ГТИБД,Название,Название (англ.),Тип,Страна,Адрес,Район,Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Время работы,Доступно для лиц с ограниченными возможностями,Геопозиция,ОГРН,ИНН
4247,"Музей Морского подводного оружия Концерна ""Морское подводное оружие - Гидроприбор""","The Museum of the  of the ""Undersea Weapons-Hydropribor"" Сoncern",ведомственное учреждение,Россия,"194044, Санкт-Петербург, Б. Сампсониевский пр., 24",Выборгский,+7 (812) 542-01-47,gidropribor.ru/museum,info@gidropribor.ru,"Открыт в 2004 году. Представляет собой два экспозиционных зала, мемориальный кабинет вице-адмирала С.О. Макарова, павильон и открытую площадку.","The museum was founded in 2004. It includes two halls, memorial room of vice-admiral Stepan Makarov, pavilion and open-air space.",По предварительной договоренности,нет,"59.962733,30.343078",1069847557394.0,7802375889.0
4248,Музей нонконформистского искусства,Museum od Nonconformist Art,негосударственное учреждение,Россия,"191040, Санкт-Петербург, Пушкинская ул., 10 
(вход с Лиговского пр., 53)",Центральный,"+7 (812) 764-48-52; 
+7 (921) 550-17-06;
+7 (931) 532-98-35;
+7 (911) 039-32-82 (заказ экскурсий)",nonmuseum.ru,info@nonmuseum.ru,"Музей собирает и выставляет неофициальное российское искусство 1950-1980-х гг., а также современное актуальное искусство, организует концептуальные выставочные проекты современных художников.","The museum collects and exhibits works by Soviet non-conformist artists dating from the 1950's to the 1980's, organizes conceptual exhibitions of contemporary artists.","ср-пт: 16:00-20:00
сб-вс: 12:00-20:00
пн-вт: закрыт",нет,"59.929227,30.357792",1037825021453.0,7825423183.0
4249,Музей Ольги Берггольц (Школа №340 Невского р-на),Olga Bergholtz Museum (School № 340 of the Nevsky District),ведомственное учреждение,Россия,"192148, Санкт-Петербург, ул. Ольги Берггольц, 27",Невский,+7 (812) 560-05-63; +7 (812) 560-29-90,school340.ru,school_340@mail.ru,"В школьном музее четыре выставочных раздела: «Комната О.Ф. Берггольц», «Блокадная комната», «Место памяти» и блок, посвященный микрорайону и школе","This is a school's museum divided in four parts: Room of Olga Bergholz, Blockade room, Memory place and the last part dedicated to this city district",По предварительной договоренности,нет,"59.891078,30.412904",1037825021453.0,7811022840.0
4250,Музей отечественной киноаппаратуры Санкт-Петербургского государственного университета кино и телевидения,Museum of The Domestic Cinematographic Equipment at St.Petersburg State University of Film and Television,федеральные (ведомственные),Россия,"192102, Санкт-Петербург, Бухарестская ул., 22",Фрунзенский,+7 (812) 572-94-03.,gukit.ru/ftkt/structure/kva/muzey,rektorat@gukit.ru,"В музее представлены: киносъемочная аппаратура, кинопроекционная, звукозаписывающая, аппаратура для научных исследований, образцы стереофотографий и голограмм","The museum has samples of filming equipment, motion-picture projection equipment, recording devices, equipment for scientific researches, stereo photography and holograms",По предварительной договоренности,нет,"59.887905,30.364683",1027807985094.0,7816009843.0
4251,Музей Пажеского корпуса Санкт-Петербургского Суворовского военного училища,The Page Corps Museum of Suvorov Military School,гос. федеральное учреждение,Россия,"191011, Санкт-Петербург, Садовая ул., 26",Центральный,+7 (812) 315-63-07,spb-svu.ru/museum.html,spb-svu@inbox.ru,"Основан в 2007 году. Экспозицию музея составляют исторические документы о создании суворовских военных училищ НКВД – МВД, история создания и становления Санкт-Петербургского суворовского военного училища МВД России",The museum was founded in 2007. The exposition consist of historical documets concerning with history of military schools and development of St. Petersburg Suvorov Military School,По предварительной договоренности,нет,"59.930854,30.332119",1037865008720.0,7825336815.0
4252,Интерактивный центр истории ГУП «Петербургский метрополитен»,St.Petersburg Metro Museum,ведомственное учреждение,Россия,"199155, Санкт-Петербург, ул. Одоевского, 29",Василеостровский,+7 (812) 301-98-11 (доб. 53-54),dosug.metro.spb.ru/metro-museum,museum@metro.spb.ru,"В музее представлены материалы о развитии общественного транспорта в Петербурге, архитектуре станций метрополитена, его работе в современных условиях.","In the museum are displayed materials about development of public transport, architecture of metro stations,  work of metro in the current conditions","пн-пт 10:00-17:00
Посещение только по предварительной записи
Запись осуществляется по телефонам 

+7 (812) 301-98-33,
+7 (812) 404-59-20,
+7 (921) 794-16-26,
+7 (921) 405-51-09",нет,"59.948167,30.234984",1027810223407.0,7830000970.0
4253,"Музей Петербургской свадьбы, семьи и детства","St.Petersburg Museum of Wedding, Family and Сhildhood",частный,Россия,"196070, Санкт-Петербург, Московский пр., 194",Московский,+7 (812) 902-68-55,museum.spbsva.ru,museum@spbsva.ru,"В музее представлены материалы из архивов, документы о рождении семьи, атрибуты свадьбы, модные аксессуары, отражены интересы новобрачных разных периодов отечественной истории.","In the museum are displayed materials from archives, documents concerning with marriage, marriage attributes, fashion accessories, objects of interest of Russian bride couples in different times",По предварительной договоренности,нет,"59.86228,30.32168",1087800002267.0,7838029410.0
4254,Музей прикладного искусства Художественно-промышленной академии им. А.Л. Штиглица,Museum of Applied Arts at A.T.Stiglitz Academy of Arts and Crafts,федеральные (ведомственные),Россия,"191028, Санкт-Петербург, Соляной пер., 13/15",Центральный,+7(812)2733258;,stieglitzmuseum.ru,info@stieglitzmuseum.ru,Музей учрежден в 1878 году. Здание  музея - уникальный памятник архитектуры эпохи историзма. Фонды музея насчитывают около 40 тысяч предметов прикладного искусства от античности до наших дней.,The museum was founded in 1878. Its building is a jewel of Historicism in architecture. The museum keeps over 40 thousand works of applied art from antiquity to modern age,"вт-сб: 11:00-17:00 
выходные: пн,вс, последняя пт месяца
закрыт в августе",нет,"59.943507,30.341075",1027809216600.0,7825072672.0
4258,Музей Русской водки,Russian Vodka Museum,некоммерческая организация,Россия,"190098, Санкт-Петербург, Конногвардейский б-р, 4",Адмиралтейский,"+7 (921) 943-14-31
+7 (812) 943-14-31",vodkamuseum.su,info@vodkamuseum.su,"В коллекции собраны старинные бутылки, пробки, этикетки, документы, предметы домашней утвари. Особой гордостью музея являются две композиции из восковых фигур.","The museum's collection includes old bottles, corks, labels, documents, kitchenware. Special proud of the museum is two wax composition of figures","пн-вс: 12:00-19:00. 
Для посетителей ресторана с 12:00 до 21:00.",нет,"59.932924,30.299258",1047855107442.0,7840306318.0
4259,Музей сновидений Зигмунда Фрейда Восточно-Европейского института психоанализа,Freud's Dream Museum,ведомственное учреждение,Россия,"197198, Санкт-Петербург, Большой пр. П.С., 18 лит. А",Василеостровский,+7 (812) 456-22-90,freud.ru,katya@freud.ru; liza@freud.ru,"Музей посвящен сновидениям, теориям Фрейда, его любви к искусству и коллекционированию древностей.","Museum is dedicated to dreams, Freud's theories, his interest in art and collecting of antiquity","вт, сб, вс: 12:00-17:00",нет,"59.946554,30.273872",1079847070874.0,7814029080.0
4260,Музей становления демократии в современной России им. А. Собчака,A. Sobchak Museum of Formation of Democracy in Modern Russia,общественные,Россия,"191025, Санкт-Петербург, Невский пр., 41",Центральный,+7 (812) 571-17-06,sobchak.org,"ol-bozh@yandex.ru, foundation@sobchak.org",Экспозиция представляет собой историю демократических преобразований в стране и городе.,The exposition is dedicated to the history of democratical reformation in the country and in the city particularly,"пн-пт: 11:00-15:00 
по предварительной договоренности",нет,"59.932329,30.345243",1037858015392.0,7825134978.0
4261,Северо-Западный государственный медицинский университет им. И.И. Мечникова. Музей стоматологии,Museum of dentistry Leningrad - Saint Petersburg,федеральные (ведомственные),Россия,"193312, Санкт-Петербург, пр. Cолидарности, 12 (в здании поликлиники)",Невский,+7 (812) 588-90-70,szgmu.ru/rus/s/633,ol-bozh@yandex.ru,Основан в 1987 году. В музее можно познакомиться с историей стоматологии с XVII в. и по настоящее время.,The museum was founded in 1987. Its exposition shows the history of stomatology from XVII century to the current times.,Экскурсионное обслуживание по предварительной договоренности.,нет,"59.919572,30.495307",1027804199422.0,7811000290.0
4262,Северо-Западный государственный медицинский университет им. И.И. Мечникова. Музей судебной медицины,Museum of Forensic Medicine of The Mechnikov Saint Petersburg State Medical Academy,федеральные (ведомственные),Россия,"195067, Санкт-Петербург, Пискаревский пр., 47, пав. 26",Красногвардейский,+7 (812) 543-15-20,szgmu.ru/rus/pdo/k/132/#Музей судебной медицины,centrsum@gmail.com,"Основан в 1972 году. Экспозиции представляют собой фотографии, характеризующие основные этапы развития академии.",The museum was founded in 1972. Its exposition displays photos and documents dedicated to the history of the university and medicine.,Посещение музея только экскурсионными группами по предварительной записи.,нет,"59.980704,30.428921",1027804199422.0,7806028854.0
4263,"Музей телевидения ФГУП ""НИИТ""",Museum of Television,ведомственное учреждение,Россия,"194021, Санкт-Петербург, Политехническая ул., 22",Выборгский,+7 (812) 556-91-57,niitv.ru/rubric/633200018/Muzey,niitv@niitv.ru,"Основан в 1977 году. В фондах музея хранятся материалы, связанные с развитием телецентров СССР, с рождением и развитием космического, подводного, медицинского, промышленного телевидения.","The museum was founded in 1977. The fund includes materials concerning with television broadcasting centers development in USSR and development of space, underwater, medical and industrial television",По предварительной договорённости (только юр. лица),нет,"60.00177,30.36577",1027801529678.0,7802042375.0
4264,Большой Санкт-Петербургский государственный цирк. Музей циркового искусства,Museum of Circus Arts,государственное федеральное (ведомственное) учреждение,Россия,"191023, Санкт-Петербург, Фонтанки наб., 3 лит. А",Центральный,+7 (812) 570-54-13,https://circus.spb.ru/muzej-tsirkovogo-iskusstva.html,circusmuseum@circus.spb.ru,"Музейное собрание состоит из нескольких коллекций, содержащих русский и иностранный материал: библиотека, фототека, видеотека; отделы плаката, цирковых программок, рукописного материала, газетных вырезок, пластических форм, костюмов и реквизита.","The museum collection consist of several parts with Russian and foreign origins: library, photos, video, posters, bills, manuscripts and theatricals","Экскурсии проводятся пн-пт по предварительной записи.
Макс. размер группы - 15 чел. 
Иностранные группы должны иметь своего переводчика.",нет,"59.939081,30.340895",1027809189242.0,7803052993.0
4265,Музей истории энергетики Северо-Запада России,,ведомственное учреждение,Россия,"197198, Санкт-Петербург, БЦ «Арена Холл», пр. Добролюбова, 16 корп.2 лит. А",Центральный,+7 (812) 688-36-06        +7 (812) 688-34-77,energomuseum.ru,office@tgc1.ru,,,,нет,"59.943841,30.327888",1027809170300.0,7803002209.0
4266,Музей-архив Д.И. Менделеева (Отдел Музейного комплекса Санкт-Петербургского государственного университета),Museum and archives of Dmitri Mendeleev,гос. федеральное учреждение,Россия,"199034, Санкт-Петербург, Университетская наб., 7-9",Василеостровский,+7 (812) 328-97-44,muskompleks.spbu.ru/muzei-spbgu/muzej-arkhiv-d-i-mendelleva.html,mendmus@yandex.ru,"Фонды Музея-архива Д.И. Менделеева включают в себя музейный фонд (личные вещи Д.И. Менделеева, мемориальную мебель из квартиры ученого, портреты Д.И. Менделеева и членов его семьи) и научный архив Д.И. Менделеева (рукописи, письма, рабочие наброски, дневники, записные книжки ученого)","The fund includes a museum fund (personal possessions of Dmitri Mendeleev, memorial furniture from his apartment, portraits) and a scientific archive was owned by Mendeleev (manuscripts, letters, diaries, notebooks)","пн-пт: 11.00-16.00 
Экскурсии по предварительной записи: +7 (812) 328-97-44",нет,"59.94161,30.299222",1037800006089.0,7801002274.0
4267,"Музей-библиотека ""Книги блокадного города""","Museum and Library ""Books of Blockaded Leningrad""",,Россия,"196135, Санкт-Петербург, пр. Ю. Гагарина, 17",Московский,+7 (812) 242-31-88,cbs-msk.ru,blokada@list.ru,"Музей-библиотека включает абонемент и читальный зал и собственно музей, представляющий экспозицию фрагмента уголка блокадной библиотеки, книги, открытки, плакаты, пластинки, предметы быта блокадной поры","Museum and Library include a delivery desk and a museum displayed a part of blockaded library, books, postcards, posters, records, furniture and household items","пн-пт: экскурсии для групп по предварительной записи
пн-пт, вс: посещение музея без экскурсии 10:00-18:00.",нет,"59.863089,30.33485",1037821003967.0,7810219724.0
4269,Музей-институт семьи Рерихов,Museum-institute of the Roerichs,Городские (комитет по культуре),Россия,"199034, Санкт-Петербург, 18-я линия В.О., 1",Василеостровский,+7 (812) 323-08-85; +7 (812) 327-35-06; +7 (812) 325-44-13,roerich.spb.ru,office@roerich.spb.ru,"Санкт-Петербургский Государственный Музей-институт семьи Рерихов размещается на Васильевском острове, в старинном особняке академика М.П. Боткина, где не раз бывал Н.К. Рерих. На сегодняшний день его фонды насчитывают около 15 тысяч предметов, среди которых личные вещи, рукописи, живопись, декоративно-прикладное искусство, археологические находки, фотографии и другие культурные сокровища, отражающие широкий контекст жизни и творчества семьи Рерихов.","Saint Petersburg State Museum-institute of the Roerichs is situated on Basil Island, in academic M.P. Botkin’s old residence, where N.K. Roerich had been many times.To date its funds consist of about 15 thousand things: private things, manuscripts, paintings, arts and crafts, archeological finds, photographs and other cultural treasure, reflecting wide context of life and creation of the Roerichs.","чт-вс: 11:00-18:00 
ср: 14:00-21:00, 19:00 - сборная обзорная экскурсия без доплаты 
выходные: пн, вт, последний чт каждого месяца",нет,"59.931553,30.272102",1077847466476.0,7801441899.0
4270,"Музейный комплекс ""Вселенная Воды""","Museum complex ""The Universe of Water""",государственное ведомственное учреждение,Россия,"191015, Санкт-Петербург, Шпалерная ул., 56",Центральный,+7 (812) 275-43-25; +7 (812) 438-43-75; +7 (812) 438-43-01,vodokanal-museum.ru,h2o-museum@vodokanal.spb.ru,"Экспозиции размещены в Водонапорной башне и помещении бывшего резервуара Главной водопроводной станции. Сегодня в музейном комплексе три экспозиции: Мир воды Санкт-Петербурга, Подземный мир Петербурга, Вселенная Воды.","The exhibitions are placed in the Water Tower and the building of the former reservoir of the Main Water Works. Today the museum complex comprises three expositions: The Water World of Saint-Petersburg, The Underground of Petersburg, The Universe of Water.",ср-вс: 10:00-19:00,нет,"59.948897,30.37495",1027809256254.0,7830000426.0
4271,"Народный музей ""А музы не молчали..."" Санкт-Петербургской общеобразовательной школы № 235 им. Д.Д. Шостаковича","People's museum ""But the Muses didn't be silent...""",гос. городское учреждение,Россия,"190121, Санкт-Петербург, наб. р. Пряжки, 4/6",Адмиралтейский,+7 (812) 572-58-87,mbmus.narod.ru,mbmus@mail.ru,Создан в 1968 году. Музей посвящён культуре и искусству Ленинграда периода Великой Отечественной войны.,The museum was founded in 1968. It is dedicated to culture and art of Leningrad during the II World War,пн-пт: 10:00-18:00,нет,"59.926278,30.280439",1037851004091.0,7826717612.0
4272,Народный музей истории Санкт-Петербургской (Ленинградской) организации Всероссийского общества слепых,People's Museum of History of St. Petesburg (Leningrad) Regional Organisation of All Russia Association of the Blind,ведомственное учреждение,Россия,"197198, Санкт-Петербург, ул. Шамшева, 8",Петроградский,+7 (812) 237-17-90,spbvos.ru/history/museum.php,museumostap@yandex.ru,"Здесь собраны документы, фотографии и предметы, отражающие общественное движение слепых с конца XIX века до наших дней в пределах Санкт-Петербурга и Ленинградской области.","There are collected documents, photos and items displayed public movement of the blind from the late XIX century to the current times in St. Petersburg and Leningrad region.",пн-пт: 10:00-16:30,нет,"59.960287,30.300678",1037858001708.0,7813008538.0
4273,Научно-исследовательский музей Российской академии художеств,The Russian Academy of Fine Arts Museum,федеральные (ведомственные),Россия,"199034, Санкт-Петербург, Университетская наб., 17",Василеостровский,"+7 (812) 323-64-96, +7 (812) 323-35-78",artsacademymuseum.org,sekretar@nimrah.ru,"В Академии художеств собраны рисунки, гравюры, картины русских и западноевропейских мастеров, а также слепки с произведений античной и западноевропейской скульптуры, служившие моделями для рисования в классах «гипсовых голов» и «гипсовых фигур».","The Academy of Arts holds the drawings, engravings, paintings of Russian and West European masters, as well as casts of antique and West European sculptures which served as models for drawing in classes of “plaster heads” and “plaster figures”.","ср: 12:00-20:00 (касса до 19:30) 
чт: 11:00-19:00 (касса до 18:30) 
пт: 12:00-20:00 (касса до 20:30) 
сб-вс: 11:00-19:00 (касса до 18:30). 
Заказ экскурсий: +7 (812) 323-35-78 (отдел выставок)",нет,"59.937305,30.289997",1037800002547.0,7801047324.0
4274,"Научно-исследовательский музей Российской академии художеств, Дом-музей П.П. Чистякова","The Russian Academy of Fine Arts Museum, The P.P. Chistyakov House-Museum",федеральные (ведомственные),Россия,"196601, Санкт-Петербург, г. Пушкин, Московское ш., 23",Пушкинский,+7 (812) 451-70-85,artsacademymuseum.org,chistyakov@nimrah.ru,"Уникальный музей художника-педагога, создателя собственной педагогической системы. Мемориальная мастерская с большим числом подлинных произведений П.П. Чистякова, экспозиция ""Ученики"" с показом авт орского слайд-фильма, знакомство с историей жизни и быт а дачи Чистякова, его обитателями.","The museum was opened in 1987 as a museum of the brilliant teacher and historical and portret painter, who was the creator of his own pedagogical system. There are a lot of original works of fine arts in the museum and also in the Chistiakov's studio. At the exposition one can see a slide film, named ""Pupils"" and to learn about Chistyakovs cottage life story.","ср, сб, вс: 10:00-17:00",нет,"59.713093,30.426181",1037800002547.0,7801047324.0
4275,"Научно-исследовательский музей Российской академии художеств, Музей-квартира А.И. Куинджи","The Russian Academy of Fine Arts Museum, The A.I. Kuindzhi Museum-Apartment",федеральные (ведомственные),Россия,"199004, Санкт-Петербург, Биржевой пер., 1/10, кв. 11",Василеостровский,"+7 (812) 323-31-33, +7 (812) 323-64-96",artsacademymuseum.org,kuindji@nimrah.ru,"В наше время для посещений восстановлены и открыты следующие комнаты: столовая, гостиная, кабинет и мастерская. Экспозиция рассказывает посетителям музея о творчестве Архипа Ивановича и его педагогической работе и деятельности Общества русских художников. Демонстрируются принадлежавшие Куинджи вещи и работы, а также произведения его последователей и учеников.","Nowadays following rooms are opened for visitors: dining room, drawing room, library and workroom. The exposition shows items concerning his works, pedagogical activity and activity of Russian Artists' Union. Paintings of Kuindzhi and his students are also displayed.","ср, пт, сб: 12.00-17.00",нет,"59.945378,30.292422",1037800002547.0,7801047324.0
4276,"Научно-исследовательский музей Российской академии художеств, Музей-квартира И.И. Бродского","The Russian Academy of Fine Arts Museum, The I.I. Brodsky Museum-Apartment",федеральные (ведомственные),Россия,"191186, Санкт-Петербург, пл. Искусств, 3",Центральный,+7 (999) 024-25-90,artsacademymuseum.org,brodsky@nimrah.ru,"Здесь представлена уникальная коллекция работ известных русских художников XVIII – XX веков, более 200 графических и живописных работ самого художника. До наших дней сохранились мемориальные предметы: документы, фотографии с автографами известных людей – современников Бродского.","In the museum are displayed unique painting collection of famous artists XVIII-XX centuries, more than 200 graphics and paintings of Brodsky. There are also memorial items: documents, photos with signatures of famous Brodsky's contemporaries.","ср: 12:00-19:00 (касса до 18:00)
чт, пт 14:00-20:00 (касса до 19:00)
сб, вс 12:00-19:00 (касса до 18:00)",нет,"59.937427,30.329388",1037800002547.0,7801047324.0
4277,"Научно-исследовательский музей Российской академии художеств, Музей-усадьба И.Е. Репина ""Пенаты""","The Russian Academy of Fine Arts Museum, The Memorial Cottage of I.E. Repin ""Penati""",федеральные (ведомственные),Россия,"197738, Санкт-Петербург, пос. Репино, Приморское ш., 411",Курортный,+7 (999) 024-25-90,artsacademymuseum.org,penates@nimrah.ru,"Экспозиция музея воссоздает быт и обстановку дворянской усадьбы. Центральную часть коллекции занимают, естественно, картины и рисунки художника, а также произведения его сына Юрия и других отечественных живописцев.","The exposition reconstructs everyday life and atmosphere of a manor of the nobility. The main part of collection takes paintings and drawings made by Repin, his son Yuriy and other Russian painters.","летний режим (16.05-14.09)
ср-вс 10:30-17:00
зимний режим (15.09-15.05)
ср-вс 10:30-16:00",нет,"60.155847,29.896535",1037800002547.0,7801047324.0
4278,"Новый Музей, Выставочная галерея современного искусства","The New Museum, The Gallery of Contemporary Art",частный,Россия,"199004, Санкт-Петербург, Cредний пр. В.О., 28/29 лит. А, пом. 27Н",Василеостровский,+7 (812) 323-50-90,novymuseum.ru,info@novymuseum.ru,"Музей создан на основе частной коллекции Аслана Чехоева. В экспозиции представлены работы российских художников, выполненные в период с 1950-х годов до наших дней.",The museum is based on a private collection by Aslan Chehoev. In the exposition are displayed painting of Russian artists made from 1950 to the current times.,ср-вс: 12:00-19:00,нет,"59.9422,30.243877",5067847155877.0,7802360579.0
4279,Открытый музей Санкт-Петербургской академии управления и экономики,Open Museum of St. Petersburg Academic University of Management and Economics,гос. федеральное учреждение,Россия,"191103, Санкт-Петербург, Лермонтовский пр.,44",Адмиралтейский,+7 (812) 251-80-82; +7 (812) 363-11-67,spbume.ru,"inforeklama@bk.ru , webredactor@spbume.ru","Музей посвящен истории университета, его вкладу в российскую науку и достижениями выпускников.","The museum is dedicated to the history of the University, its role in Russian science and achievements of its graduates","пн-пт: 10:00-21:00 
сб: 13:00-20:00 (по предварительной записи)
вс: выходной",нет,"59.913956,30.297929",1027810240260.0,783901001.0
4280,Петербургский музей кукол,St. Petersburg Dolls Museum,частный,Россия,"199178, Санкт-Петербург, Камская ул., 8",Василеостровский,+7 (812) 327-72-24,museumdolls.ru,museum@russiandolls.ru,"Один из первых негосударственных музеев России, он был создан в 1998 году при научно-методическом руководстве Российского Этнографического музея. Основу музейных фондов составили несколько частных коллекций. Ныне музейные экспозиции пополняются современными авторскими и антикварными куклами.","One of the first private museums of Russia, the Petersburg museum of dolls have been created in 1998 at a scientifically-methodical management of the Russian Ethnographic museum. The basis of museum funds was made some with private collections, expositions constantly replenish with author's and antiquarian dolls.",пн-вс: 10:00-18:00,нет,"59.94718,30.259616",1027800507492.0,7801113295.0
4281,Пискаревское мемориальное кладбище,Piskaryovskoye Memorial Cemetery,ведомственное учреждение,Россия,"195273, Санкт-Петербург, Непокоренных пр., 72",Калининский,+7 (812) 297-57-16 (экскурсионный отдел),pmemorial.ru,p_memorial@mail.ru,"Пискаревский мемориал является символом памяти погибших жителей и защитников блокадного Ленинграда. На территории 28 гектаров в огромных братских могилах погребены около полумиллиона человек. Это самое большое в мире кладбище, созданное в годы войны.",The Piskaryovskoye Memorial Cemetery commemorates Leningrad citizens and defenders deceased in the days of the Siege. It is the world's largest wartime cemetery. Its 28-ha area contains beds of honor with over a half a million of people buried there.,"Музейный павильон: пн-вс 09:00-18:00. 

Мемориальное кладбище: 
осенне-зимний период: пн-вс 09:00-18:00
весенне-летний период: пн-вс 09:00-21:00

Экскурсии по мемориалу: 09.00-18.00 
(бесплатно, по предварительной записи)",нет,"59.994387,30.420432",1027802499867.0,7804138971.0
4282,Санкт-Петербургский планетарий,"Planetarium of the Uniuon ""Znanie"" of St. Petersburg and Leningrad Region",общественное негосударственное учреждение,Россия,"197198, Санкт-Петербург, Александровский парк, 4",Петроградский,"+7 (812) 233-26-53;
+7 (812) 233-49-56",planetary-spb.ru,orgotdel@planetary-spb.ru,"В Звездном зале Планетария находится главный аппарат - «Планетарий», который воспроизводит на куполе важнейшие астрономические явления, доступные наблюдению невооруженным глазом: звездное небо Земли, суточное движение небесного свода, движение Солнца и планет, туманности и звездные скопления, Млечный Путь. В Планетарии работает небольшая астрономическая обсерватория, оснащенная современными телескопами.","In Zvezdniy (Star) Hall of the Planetarium is located a main device - The Planetarium, that reproduces on the dome main astronomical phenomenon available with the unaided eye: the starry arch of the Earth, diurnal motion of the celestial dome, motions of the Sun and planets etc. In the Planetarium operates a small observatory fitted with modern telescopes.","вт-вс 10:00-18:00
пн - выходной",нет,"59.955998,30.315778",1027800000722.0,7825012634.0
4283,Пожарно-техническая выставка им. Б.И. Кончаева,The B.I. Konchaev Firefighting Technical Exhibition,федеральные (ведомственные),Россия,"199026, Санкт-Петербург, Большой пр. В.О., 73",Василеостровский,+7 (812) 718-26-94,museum.ru/M234,firemuseum@mail.ru,Открыта в 1957 году. Экспозиция рассказывает об истории пожарного дела в Санкт-Петербурге и основах пожаробезопасного поведения.,The exhibition was founded in 1957. The exposition shows the history of firefighting in St. Petersburg and foundations of fireproof behavior.,"Только групповые (10-25 чел.) экскурсии по предварительной записи
пн-пт: 10:00-17:00 
обед: 13:00-14:00
выходные: сб, вс, последняя пт месяца
вдпо.рф/virtual/spb - виртуальный тур",нет,"59.933988,30.263658",1057810127803.0,7838318838.0
4284,Российский государственный музей Арктики и Антарктики,Russian State Museum of Arctic and Antarctic,федеральные (ведомственные),Россия,"191040, Санкт-Петербург, Марата ул., 24 лит. А",Центральный,+7 (812) 571-25-49 (заказ экскурсий),polarmuseum.ru,info@polarmuseum.ru,"В настоящее время музей является крупнейшим в мире музеем, коллекция которого посвящена полярной тематике. В числе экспонатов приборы и экспедиционное снаряжение, письменные, картографические и печатные источники, фотодокументы. Музей располагает архивами известных полярных капитанов, советских полярных исследователей, а также конструкторов первого атомного ледокола „Ленин” и атомного ледокола „Арктика”.","At present the museum is the largest museum in the world which collection of about 100 thousand pieces is devoted to polar exploration. Included in the collection are instruments and expeditions’ outfit, written, cartographic and published sources, documentary photographs. The museum has at its disposal the archives of famous polar captains, soviet polar explorers, as well as of the designers of the world’s first nuclear-powered icebreaker “Lenin” and the nuclear-powered icebreaker “Arktika”.","пн: выходной
вт-вс: 10:00-18:00 (касса до 17:30)
последняя пт месяца - сандень",нет,"59.927392,30.35393",1037843036736.0,7825694761.0
4285,Российский этнографический музей,The Russian Museum of Ethnography,федеральные (Министерство Культуры РФ),Россия,"191186, Санкт-Петербург, Инженерная ул., 4/1",Центральный,+7 (812) 570-54-21,ethnomuseum.ru,info@ethnomuseum.ru,"Обширная коллекция музея включает в себя тысячи произведений ручного труда, таких как ювелирные украшения, костюмы, оружие и орудия труда, использовавшиеся различными народностями России и Центральной Азии.","The large Museum's collection contains thousands of different handcrafted items such as jewellery, clothes, weapons and tools used by different native cultures across Russia and Central Asia.","ср-сб: 10:00-18:00 
вт: 10:00-21:00 
вс: 11:00-19:00 
выходные: пн, последняя пт месяца",нет,"59.937946,30.334059",1037843105277.0,7825005700.0
4286,"Санкт-Петербургский государственный музей ""Царскосельская коллекция""","The St. Petersburg State Museum ""Tzarskoe Selo Collection""",районные,Россия,"196600, Санкт-Петербург, г. Пушкин, Магазейная ул., 40/27",Пушкинский,+7 (812) 466-04-60,museumfa.ru,tsarsk_nekrasov@mail.ru,"В коллекции музея собрано более четырех тысяч живописных и графических произведений. Лицо ""Царскосельской коллекции"" преимущественно составляют произведения ленинградского авангарда 20-90-х годов ХХ века.",In the museum are collected more than 4000 paintings and drawings. The main part of the collection is works of Leningrad avant-garde masters 1920-1990's.,"ср, пт, сб, вс: 11:00-17:00
чт: 11:00-19.00
пн, вт: выходные",нет,"59.722994,30.408197",1027809012692.0,7820018897.0
4287,Санкт-Петербургский государственный музей театрального и музыкального искусства.,St. Petersburg State Museum of Theatre and Music,городское (комитет по культуре) государственное учреждение,Россия,"191023, Санкт-Петербург, ул. Зодчего Росси, 2, лит. А",Центральный,+7 (812) 571–21–95,theatremuseum.ru/filial/muzey_teatralnogo_i_muzykalnogo_iskusstva,npo@theatremuseum.ru,"Экспозиция музея рассказывает об истории российского театра от его истоков до середины ХХ века. В залах музея можно познакомиться с такими ценными экспонатами, как декорации и костюмы А. Головина, М. Добужинского, С. Судейкина, Б. Кустодиева, К. Малевича, образцами декораций, реквизита, фотоматериалами, личными вещами известных театральных фигур.","The exhibition covers the history of the Russian theatre from its beginning up to the middle of the 20th century. The Museum's halls have on display most precious materials: set and costume designs by A.Golovin, M.Dobuzhinsky, S.Sudeikin, B.Kustodiev, K.Malevich, set models, scenery, photographs, private belongings.","чт-вс: 11:00-19:00 (касса до 18:00)
ср: 13:00-21:00 (касса до 20:00)
выходные: пн, вт, последняя пт месяца",нет,"59.930403,30.336134",1047839007589.0,7825446889.0
